state,date,households,living_quarters
Johor,2022-01-01,1073400,1323700
Kedah,2022-01-01,546900,651400
Kelantan,2022-01-01,376700,451900
Melaka,2022-01-01,285000,339600
Negeri Sembilan,2022-01-01,334000,410900
Pahang,2022-01-01,421700,481500
Perak,2022-01-01,695300,840200
Perlis,2022-01-01,87700,75800
Pulau Pinang,2022-01-01,519900,614100
Sabah,2022-01-01,766600,814800
Sarawak,2022-01-01,636700,821500
Selangor,2022-01-01,1952800,2227500
Terengganu,2022-01-01,298600,331700
Kuala Lumpur,2022-01-01,609800,673500

